name,population,longitude,latitude,province
北京,21540000,116.4074,39.9042,北京市
上海,24280000,121.4737,31.2304,上海市
广州,15300000,113.2644,23.1291,广东省
深圳,13440000,114.0579,22.5431,广东省
杭州,11940000,120.1551,30.2741,浙江省
成都,16330000,104.0665,30.5728,四川省
重庆,32050000,106.5516,29.5630,重庆市
天津,15620000,117.2008,39.0842,天津市
武汉,11210000,114.3054,30.5931,湖北省
南京,9314000,118.7969,32.0603,江苏省
西安,12950000,108.9402,34.3416,陕西省
苏州,12750000,120.6197,31.3156,江苏省
青岛,10710000,120.3826,36.0671,山东省
郑州,12600000,113.6254,34.7466,河南省
大连,5950000,121.6147,38.9140,辽宁省 